Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
 етинкторп ,вотог ьсуг отч ,ясьтидебу; мыртсо ;убедиться, что гусь готов, проткните ; острым ; ; ножом бедро.;Рецепты национальных кухонь: Скандинавская кухня (2000-2005);;;Рецепты национальных кухонь: Скандинавская кухня;2000-2005;бытовая, нехудожественная, производственно-техническая;рецепт;дом и домашнее хозяйство;;;электронный текст;омонимия снята;Для того, чтобы убедиться, что гусь готов, проткните острым ножом бедро. [Рецепты национальных кухонь: Скандинавская кухня (2000-2005)] [омонимия снята]
 ьнечо ,оннелдем ьтазер одан ёе; мыртсо ;её надо резать медленно, очень ; острым ; ; лезвием, которое следует постоянно оправлять;Николай Щербатов-Коломин. Березовое чудо // «Народное творчество», 2004;Николай Щербатов-Коломин;;Березовое чудо;2004;нехудожественная, учебно-научная;статья;искусство и культура;«Народное творчество»;2004;журнал;омонимия снята;Если в каком-то месте вам попадается тонкая берёста, её надо резать медленно, очень острым лезвием, которое следует постоянно оправлять ( подтачивать) на ремне из кожи, предварительно покрывая его алмазной пастой или пастой Гоя ( так парикмахеры раньше точили бритвы). [Николай Щербатов-Коломин. Березовое чудо // «Народное творчество», 2004] [омонимия снята]
 йошьлоб и ― иворк в; йыртсо ;в крови ― и большой ; острый ; ; нож.;Запись LiveJournal (2004);;;Запись LiveJournal;2004;нехудожественная, электронная коммуникация;блог;частная жизнь;;;электронный текст;омонимия снята;В руках у безумца ― портфель, в котором лежат четыре предмета: бумажка с адресом Ливии, яблоко, измеритель содержания сахара в крови ― и большой острый нож. [Запись LiveJournal (2004)] [омонимия снята]
 тюазерорп и укйенил тюавыдалкирп метаЗ; мыртсо ;Затем прикладывают линейку и прорезают ; острым ; ; ножом уложенные внахлест оба полотнища.;Елена Волкова. Тот самый линолеум // «Биржа плюс свой дом» (Н. Новгород), 2002.08.12;Елена Волкова;;Тот самый линолеум;2002;нехудожественная, публицистика;статья;дом и домашнее хозяйство;«Биржа плюс свой дом» (Н. Новгород);2002.08.12;газета;омонимия снята;Затем прикладывают линейку и прорезают острым ножом уложенные внахлест оба полотнища. [Елена Волкова. Тот самый линолеум // «Биржа плюс свой дом» (Н. Новгород), 2002.08.12] [омонимия снята]
 и имазалг имынмузеб с акеволеч; мыртсо ;человека с безумными глазами и ; острым ; ; ножом в руках.;Григорий Горин. Иронические мемуары (1990-1998);Григорий Горин;1940;Иронические мемуары;1990-1998;художественная;мемуары;_;;;книга;омонимия снята;Только тут все замечают за спиной артиста хохочущего человека с безумными глазами и острым ножом в руках. [Григорий Горин. Иронические мемуары (1990-1998)] [омонимия снята]
 еиклем яавызакоп ,ьсалабылу ано отч; еыртсо ;что она улыбалась, показывая мелкие ; острые ; ; зубы)  ― и вот;Людмила Петрушевская. Маленькая волшебница // «Октябрь», 1996;Людмила Петрушевская;1938;Маленькая волшебница;1996;художественная;роман;_;«Октябрь»;1996;журнал;омонимия снята;Однажды я уже кое-кому крупно помог  ( тут он выразительно смотрел на Барби Валечку, в ответ на что она улыбалась, показывая мелкие острые зубы)  ― и вот теперь сижу, опасаюсь последствий… [Людмила Петрушевская. Маленькая волшебница // «Октябрь», 1996] [омонимия снята]
,кос йынневкюлк ил ывотог :еелаД; йыртсо ;Далее: готовы ли клюквенный сок,; острый ; ; нож, штопор для выковыривания глаз, шило;Людмила Петрушевская. Маленькая волшебница // «Октябрь», 1996;Людмила Петрушевская;1938;Маленькая волшебница;1996;художественная;роман;_;«Октябрь»;1996;журнал;омонимия снята;Далее: готовы ли клюквенный сок,острый нож, штопор для выковыривания глаз, шило для ушей?  [Людмила Петрушевская. Маленькая волшебница // «Октябрь», 1996] [омонимия снята]
 латсод ,кюрк ан лисевдоп ,)ондзоп; йыртсо ;поздно), подвесил на крюк, достал ; острый ; ; нож, зажмурился и вонзил нож;Алексей Слаповский. Гибель гитариста (1994-1995);Алексей Слаповский;1957;Гибель гитариста;1994-1995;художественная;повесть;_;;;книга;омонимия снята;Он связал ему лапы ( котёнок сперва был доверчив, потом стал дёргаться ― но поздно), подвесил на крюк, достал острый нож, зажмурился и вонзил нож в котёнка. [Алексей Слаповский. Гибель гитариста (1994-1995)] [омонимия снята]
 ытфок доп-зи тенатсод ано адгот; йыртсо ;тогда она достанет из-под кофты ; острый ; ; нож…;Алексей Слаповский. Гибель гитариста (1994-1995);Алексей Слаповский;1957;Гибель гитариста;1994-1995;художественная;повесть;_;;;книга;омонимия снята;Она сегодня на шажок к нему поближе, завтра ещё на шажок ( потому что сразу нет сил, страшно), а когда приблизится совсем близко ( хорошо бы― в комнатке, в прохладе, где чая, однако, нет), тогда она достанет из-под кофты острый нож… [Алексей Слаповский. Гибель гитариста (1994-1995)] [омонимия снята]
 ноколов ьлодв енидересоп атсем огонткефед; мыртсо ;дефектного места посередине вдоль волокон ; острым ; ; ножом или скальпелем с наклоном;Татьяна Матвеева. Реставрация столярно-мебельных изделий (1988);Татьяна Матвеева;;Реставрация столярно-мебельных изделий;1988;нехудожественная, учебно-научная;учебное пособие;производство;;;книга;омонимия снята;Вздутия в виде воздушных пузырей устраняют путём надреза дефектного места посередине вдоль волокон острым ножом или скальпелем с наклоном под углом 30… [Татьяна Матвеева. Реставрация столярно-мебельных изделий (1988)] [омонимия снята]
 мишьлоб ,уртсок к алшодоп ачлом; мыртсо ;молча подошла к костру, большим ; острым ; ; ножом распластала жирную, чуть не;Марк Сергеев. Волшебная галоша, или Необыкновенные приключения Вадима Смирнова, его лучшего друга Паши Кашкина и 33 невидимок из 117-й (1971);Марк Сергеев;1926;Волшебная галоша, или Необыкновенные приключения Вадима Смирнова, его лучшего друга Паши Кашкина и 33 невидимок из 117-й;1971;художественная;повесть;_;;;книга;омонимия снята;Та, кого старуха назвала Васютой, молча подошла к костру, большим острым ножом распластала жирную, чуть не на килограмм весом рыбину, проткнула её палочками ― рожнами ― и приспособила у огня. [Марк Сергеев. Волшебная галоша, или Необыкновенные приключения Вадима Смирнова, его лучшего друга Паши Кашкина и 33 невидимок из 117-й (1971)] [омонимия снята]
 йеревз У; еыртсо ;У зверей ; острые ; ; зубы, господин бой! ;Виталий Губарев. Трое на острове (1950-1960);Виталий Губарев;1912;Трое на острове;1950-1960;художественная;сказка;_;;;книга;омонимия снята;У зверей острые зубы, господин бой!  [Виталий Губарев. Трое на острове (1950-1960)] [омонимия снята]
 мокшилс меавибыв ым имыроток ,яинелбосопсирп; еыртсо ;приспособления, которыми мы выбиваем слишком ; острые ; ; зубы! ;Виталий Губарев. Трое на острове (1950-1960);Виталий Губарев;1912;Трое на острове;1950-1960;художественная;сказка;_;;;книга;омонимия снята;У нас есть такие приспособления, которыми мы выбиваем слишком острые зубы!  [Виталий Губарев. Трое на острове (1950-1960)] [омонимия снята]
 еикьнелам яавызакоп ,яслунбылу и акнаГ; еыртсо ;Ганка и улыбнулся, показывая маленькие ; острые ; ; зубы.;Ю. О. Домбровский. Обезьяна приходит за своим черепом, часть 1 (1943-1958);Ю. О. Домбровский;1909;Обезьяна приходит за своим черепом, часть 1;1943-1958;художественная;роман;_;;;книга;омонимия снята;Есть хуже, ― сказал Ганка и улыбнулся, показывая маленькие острые зубы. [Ю. О. Домбровский. Обезьяна приходит за своим черепом, часть 1 (1943-1958)] [омонимия снята]
 имикьнелам и имазалг имынрёч имичугж; имыртсо ;жгучими чёрными глазами и маленькими ; острыми ; ; зубами подхватил его и потащил;Ю. О. Домбровский. Обезьяна приходит за своим черепом, часть 3 (1943-1958);Ю. О. Домбровский;1909;Обезьяна приходит за своим черепом, часть 3;1943-1958;художественная;роман;_;;;книга;омонимия снята;Маленький кривоногий человечек с жгучими чёрными глазами и маленькими острыми зубами подхватил его и потащил за плечо в сторожку, что стояла по ту сторону виадука. [Ю. О. Домбровский. Обезьяна приходит за своим черепом, часть 3 (1943-1958)] [омонимия снята]
,еикьнелам ан ,йедюл хынму у; еыртсо ;у умных людей, на маленькие,; острые ; ; зубы, быстро переводил взгляд на;Ю. О. Домбровский. Обезьяна приходит за своим черепом, часть 3 (1943-1958);Ю. О. Домбровский;1909;Обезьяна приходит за своим черепом, часть 3;1943-1958;художественная;роман;_;;;книга;омонимия снята;Ганка опять смотрел на его улыбающееся лицо, на вздёрнутый нос, лоб, очень выпуклый, такого, как он считал, ― не по Лафатеру ли? ― никогда не бывает у умных людей, на маленькие,острые зубы, быстро переводил взгляд на тщательно расчёсанные, сверкающие от какого-то масла волосы, и ему становилось всё яснее и яснее, что ровно ничего существенного этот человек знать не может. [Ю. О. Домбровский. Обезьяна приходит за своим черепом, часть 3 (1943-1958)] [омонимия снята]
